merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,manually_curated
ROULOTE DA PORTELA,roulote portela,5814,LISBOA,PT,55.3,9/11/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
FOODORA_AT_HTYR-2537-Z,foodora htyr,5499,WIEN,AT,50.61,28/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
BIRD,bird,5940,8662052442,CH,71.49,1/11/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
LIME*KRSEL H4SR,lime krsel,4789,HELLERUP,DK,54.39,9/11/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
WWW.AMAZON.* M64A82T45,amazon,5399,LUXEMBOURG,LU,39.85,22/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
BRANDS FOR LESS TRADIN,brands for less tradin,5691,RIYADH,SA,184.7,3/10/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Men’s & Women’s Clothing,0.95,rule_based,mcc_rule,no
MEGAIMAGE 0637 BORH 8A,megaimage borh,5411,CLUJ NAPOCA,RO,108.8,12/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
ALNATURA PRODUKTIONS U,alnatura produktions,5411,FILDERSTADT,DE,41.09,1/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
IKEA IRELAND LIMITED E,ikea ireland limited,5712,DUBLIN,IE,29.91,2/11/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Furniture Stores,0.95,rule_based,mcc_rule,no
FOODORA_AT_RPEV-2505-N,foodora rpev,5499,WIEN,AT,103.11,25/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
METRO RJ,metro,4111,RIO DE JANEIR,BR,9.72,13/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
CRV*GATE RETAIL WIZZ E,crv gate retail wizz,5309,CURVE.COM,IE,115.12,14/3/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,,no
SAGOR ALIMENTACION,sagor alimentacion,5411,BARCELONA,ES,196.27,2/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
XSOLLA /TWITCH,xsolla twitch,5816,SHERMAN OAKS,US,142.53,20/2/2026,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
LIME*RIDE K6TK,lime ride,7519,BULGARIA,BG,24.03,31/12/2025,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
PKS GDYNIA 02,pks gdynia,4131,WEJHEROWO,PL,69.17,15/1/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Bus Lines,0.0,rule_based,,no
O17618266529788708 APP BR,,9311,TORINO,IT,149.45,18/12/2025,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
TRUFFLES BAKERY,truffles bakery,5462,WEST SUSSEX B,GB,193.72,15/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule,no
GOPAY  $CEDCR.CZ,gopay cedcr,7375,CEDCR.CZ,CZ,28.49,12/2/2026,,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,no
RESTAURANT GENUSSTER,restaurant genusster,5812,AGGSBACH MARK,AT,93.51,5/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
JETSTAR AIRW0000000YQWSTK,jetstar,3079,WWW.JETSTAR.C,AU,122.43,13/3/2026,travel & airlines,Airlines,airlines,Individual airline merchant codes,,0.95,rule_based,mcc_rule,no
PALDISKI KONSUM,paldiski konsum,5499,"HARJUMAA, PAL",EE,70.98,13/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
PAN ET GATO,pan gato,5462,ANNECY LE VI,FR,169.93,7/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule,no
TFL TRAVEL CH,tfl travel,4111,TFL.GOV.UK/CP,GB,87.43,5/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
EVENTIX B.V.,eventix,7922,3185225052,NL,126.86,20/2/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Theatrical Producers,0.95,rule_based,mcc_rule,no
LANDESBETRIEB VERKEHR,landesbetrieb verkehr,9399,IKFZ000100091,DE,197.66,5/10/2025,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule,no
"BOOTS/0917,",boots,5912,WEST THURRO,GB,5.25,1/3/2026,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
LIME*RIDE O4CL,lime ride,4789,ATHENS,GR,25.23,31/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
LIDL 727 OUDBEIJERLAND,lidl oudbeijerland,5411,OUD-BEIJERLAN,NL,181.77,26/9/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
WILLHABEN 1253710144,willhaben,5331,VIENNA,AT,116.27,5/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Variety Stores,0.95,rule_based,mcc_rule,no
FOODORA_AT_XEFN-2WY4,foodora xefn,5499,WIEN,AT,96.96,12/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
HAPPYTIGER,happytiger,7995,ID:1854661967,DK,140.34,1/1/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
MOONPAY*LEDGER 3765,moonpay ledger,6051,DUBILN,IE,57.61,26/12/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule,no
GOPAY  *BAZAROVEREGALY.CZ,gopay bazaroveregaly,5251,BRNO,CZ,169.47,1/3/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",Hardware Stores,0.0,rule_based,,no
CFA SOC SW* CV DOCTORI,cfa soc doctori,8699,41443824244,CH,31.12,29/12/2025,,,membership organizations,"Religious, civic, social clubs",,0.0,rule_based,,no
SG*MEMORYOS.COM,memoryos,8299,LEWES,US,12.23,5/11/2025,education,"Schools, universities, education services",education,"Schools, universities, vocational training",Educational Services,0.95,rule_based,mcc_rule,no
APPLE STORE R454,apple,5732,SICILY,IT,94.87,28/9/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Electronics Stores,0.95,rule_based,mcc_rule,no
HAPPYTIGER,happytiger,7995,ID:2877063858,DK,39.41,27/1/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
DEKAMARKT LOC46392,dekamarkt,5411,AMSTERDAM,NL,40.7,23/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
ERNSTING'S FAMILY 0001,ernsting family,5651,FRIEDBERG,DE,152.78,10/10/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
PAYMENT SOLUTION & SERVIC,solution servic,5812,STEFFISBURG,CH,178.67,30/11/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
KOZAK KFT. SZEKHELY,kozak kft szekhely,5921,KECSKEMET,HU,28.84,16/12/2025,bars & alcohol,Liquor stores,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Liquor Stores,0.95,rule_based,mcc_rule,no
FOODORA_AT_Z3Z1-2527-K,foodora,5499,WIEN,AT,198.35,13/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
MRCR*DAVID*ELIS,mrcr david elis,6051,VISA DIRECT,HR,146.13,9/3/2026,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule,no
O17529055544027041 APP BR,,9311,TORINO,IT,128.32,17/3/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
ZOTTER SCHOKOLADE,zotter schokolade,5441,RIEGERSBURG,AT,76.33,31/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Candy / Nut Stores,0.95,rule_based,mcc_rule,no
IC JICIN,jicin,5200,JICIN,CZ,189.92,5/3/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",Home Supply Warehouse Stores,0.0,rule_based,,no
URBAMUSA,urbamusa,7523,MURCIA ESP,ES,151.82,10/3/2026,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
LIME*2 COURSES JDQK,lime courses jdqk,4789,PARIS,FR,173.21,21/3/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
DROGERIA MAR KOS,drogeria mar kos,5977,PLOCK,PL,32.81,23/11/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Cosmetic Stores,0.0,rule_based,,no
TEDI FIL  6268,tedi fil,5651,DORTMUND,DE,72.73,20/2/2026,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
IPSWICH TOWN FOOTBALL,ipswich town football,7941,IPSWICH,GB,85.6,19/3/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Sports Clubs,0.95,rule_based,mcc_rule,no
SPILNU,spilnu,7995,ID:1940905313,DK,88.16,29/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
AUTOMATA TO:LTO'A'LLOM,automata lto llom,5542,SARVAR,HU,173.59,3/10/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Automated Fuel Dispensers,0.95,rule_based,mcc_rule,no
SKULLTURE IBIZA,skullture ibiza,5947,SAN CARLOS,ES,199.02,8/2/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Gift Shops,0.0,rule_based,,no
LAWSON,lawson,5499,TOKYO,JP,123.47,1/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
WWW.AMAZON* 204-70608,amazon,5399,1  1401865794,GB,169.96,3/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
ASDA SUPERSTORE,asda superstore,5411,MERTHYR TYDFI,GB,156.32,25/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
PBZ8AROMAGLOBAL,,5812,DUBROVNIK,HR,187.81,30/11/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
LIME*3 COURSES WFR4,lime courses,4789,SAN FRANCISCO,US,103.95,5/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
AVM XOR8SEBF6IA1SLQ,avm,4111,VENEZIA,IT,51.26,10/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
FOODORA_AT_GWU7-2435-H,foodora,5499,WIEN,AT,149.56,2/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
LIME*RIDE UMLC,lime ride umlc,7999,SAN FRANCISCO,US,140.1,29/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
UBER   *TRIP,uber trip,4121,AMSTERDAM,NL,183.75,3/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
FOODORA_AT_OJHY-2510-ACGY,foodora ojhy acgy,5499,WIEN,AT,68.77,15/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
FACEBK* 3KAF7ZF722,facebk,7311,MENLO PARK,US,154.67,14/1/2026,professional services,,business services,"Advertising, consulting, IT services",Advertising Services,0.0,rule_based,,yes
ACS*23666122 THREE,acs three,4814,ROTTERDAM,NL,199.88,23/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule,no
LISEBERG LH SP,liseberg,7996,GOTEBORG,SE,27.04,4/1/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
MOL*ELBENWALD GMBH,mol elbenwald gmbh,5691,49355121010,DE,10.96,25/10/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Men’s & Women’s Clothing,0.95,rule_based,mcc_rule,no
MERCADONA  FRANCISCO A,mercadona francisco,5411,ALZIRA,ES,86.14,22/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
FOODORA_AT_O2BI-2442-O,foodora,5499,WIEN,AT,47.22,26/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
COVA MONTENAPOLEONE SRL,cova montenapoleone srl,5499,MILANO MI,IT,6.58,23/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
AIRBALTIC.COM,airbaltic,4511,V000015772,LV,69.76,11/3/2026,travel & airlines,Airlines,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Airlines,0.95,rule_based,mcc_rule,no
WOOCOMM 9091791,woocomm,5734,HTTPSWOOCOMME,US,78.34,30/9/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
9967150937,,4899,BUCHAREST,RO,165.35,19/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
SVETITS KATOLIKUS,svetits katolikus,5811,DEBRECEN,HU,148.62,1/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Caterers,0.95,rule_based,mcc_rule,no
B M 518 - EDGELEY,edgeley,5399,STOCKPORT,GB,27.9,16/10/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
HOLMESPLACE MILLENNIUM,holmesplace millennium,7298,WIEN,AT,196.74,24/3/2026,beauty & personal care,Personal care services and spas,personal services,"Hotels, laundry, beauty services, personal care",,0.95,rule_based,mcc_rule,no
NOTEMACHINE,notemachine,6011,MK9 1FG,GB,186.61,12/3/2026,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",ATM Cash Withdrawal,0.95,rule_based,mcc_rule,no
CESKA POSTA  51401,ceska posta,9402,JILEMNICE,CZ,14.49,12/3/2026,,,government administrative services,"Postal services, government operations",Postal Services,0.0,rule_based,,no
LIME*PASS YIMN,lime pass yimn,4789,MILAN,IT,106.42,24/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
LIME*5 FAHRTEN GEKB,lime fahrten gekb,4789,PARIS,FR,183.8,23/11/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
GOPAY  *VITAMIN360.COM,gopay,5499,DUNAJSKA STRE,SK,163.45,20/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
BIOPIAC MARKET SZOCIAL,biopiac market szocial,5734,UJSOLT,HU,162.2,28/12/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
LIME*RIDE LUDN,lime ride ludn,4789,PARIS,FR,126.7,24/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
FOODORA_AT_MV84-XPV6,foodora,5499,WIEN,AT,87.55,21/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
ALRABWA ALKHADRA,alrabwa alkhadra,5422,AMMAN,JO,55.3,17/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Freezer & Locker Meat Provisioners,0.95,rule_based,mcc_rule,no
AMAZON UK* Z72EA1NL4,amazon,5399,LONDON,GB,14.36,26/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
O17491896377813462 APP BR,,9311,TORINO,IT,126.55,6/12/2025,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
